Question,answers,label,llm_output
"यो स्थान कुन देशमा अवस्थित छ? स्थान: न्यूयोर्क
",संयुक्त राज्य अमेरिका,cities,"न्यूयोर्क अमेरिका गणतन्त्रको एक राज्यमा अवस्थित छ। न्यूयोर्क राज्यको राजधानी भइदु र यो विश्वका एक विशाल व्यापारिक र सांस्कृतिक केन्द्र रहेको छ। यो शहर अमेरिकाको सबैभन्दा बढी जनसंख्या धेरै छ, र यसको न्यूयोर्क शहर विश्वका सबैभन्दा बढी जनसंख्या धेरै शहर भन"
"यो स्थान कुन देशमा अवस्थित छ? स्थान: लस एन्जलस
",संयुक्त राज्य अमेरिका,cities,"लस एन्जलस (Los Angeles) अमेरिका देशको एक प्रमुख शहर छ। यो शहर यूनाइटेड स्टेट्स अफ अमेरिका को दक्षिण पश्चिम भागमा स्थित छ, कैलिफोर्निया राज्यमा बस्तित्व धारण गरेका छ।"
"यो स्थान कुन देशमा अवस्थित छ? स्थान: शिकागो
",संयुक्त राज्य अमेरिका,cities,शिकागो अमेरिका देशको एक प्रमुख शहर छ। यो यूनाइटेड स्टेट्स अफ अमेरिका (USA)को उत्तर-पश्चिम भागमा लिंकोल्न स्टेट राज्यमा स्थित छ। शिकागो यो राज्यका राजधानी र दुनियाले विश्वकथा दिएका सबैभन्दा बढी विश्वकाशिका र दूरसंचार केन्द्रहरूमा एक छ।
"यो स्थान कुन देशमा अवस्थित छ? स्थान: ह्युस्टन
",संयुक्त राज्य अमेरिका,cities,ह्युस्टन यो यूएस अमेरिकामा अवस्थित एक शहर छ। यो टेक्सास राज्यका राजधानी शहर हिल्टन बीच बस्तितले छ। ह्युस्टन यो यूएसमा तीसरो बडेका शहर र टेक्सासमा पहिलो बडेका शहर छ।
"यो स्थान कुन देशमा अवस्थित छ? स्थान: फिनिक्स
",संयुक्त राज्य अमेरिका,cities,फिनिक्स अमेरिका देशको एक शहर छ। यो अरizonा राज्यको दक्षिण पश्चिम भागमा स्थित छ। यो शहर अरिज़ोना राज्यको सबैको दूरमानमा रहेको शहर र दुनियाले लागि लामो सम्पर्क गर्ने एक विशेष जगह हो।
"यो स्थान कुन देशमा अवस्थित छ? स्थान: सान डिएगो
",संयुक्त राज्य अमेरिका,cities,"सान डिएगो अमेरिका देशको दक्षिण भागमा अवस्थित छ, यह यूनाइटेड स्टेट्स को दक्षिणी कैलिफोर्निया राज्यको एक शहर हो। यो शहर संयुक्त राज्य अमेरिकाको सबैभन्दा दक्षिणी शहरहरू मेला छ।"
"यो स्थान कुन देशमा अवस्थित छ? स्थान: सान फ्रान्सिस्को
",संयुक्त राज्य अमेरिका,cities,सान फ्रान्सिस्को अमेरिका देशको कालिफोर्निया राज्यमा अवस्थित छ। यो राज्यको उत्तर-पश्चिम भागमा स्थित एक महत्वपूर्ण शहर र राजधानी हो।
"यो स्थान कुन देशमा अवस्थित छ? स्थान: सिएटल
",संयुक्त राज्य अमेरिका,cities,सिएटल अमेरिका देशको उत्तर भागमा स्थित एक बडा शहर छ। यो ओregon राज्यको पश्चिम भागमा रहेको एक बडा शहर र राजधानी हो। सिएटल ओregon राज्यको सबैभन्दा बडा शहर र अमेरिका देशको सबैभन्दा बडा नाविकी उद्योगको केन्द्र भइदछ।
"यो स्थान कुन देशमा अवस्थित छ? स्थान: डेन्भर
",संयुक्त राज्य अमेरिका,cities,"डेन्फर यो अमेरिकालाई धेरै सम्पन्न शहर छ। यो यूनाइटेड स्टेट्सको वेस्ट वाइंडोर राज्यको राजधानी डेन्फर शहरमा स्थित छ। यो शहर विश्वका सबैभन्दा उच्च आवासीय वायु तापमानको बीच एक छ। यसको नाम डेन्फर यसलाई यूनाइटेड स्टेट्सको एक विशेष वायुप्रणालीको नाम भनेको छ, जसले ड"
"यो स्थान कुन देशमा अवस्थित छ? स्थान: मियामी
",संयुक्त राज्य अमेरिका,cities,"मियामी यो स्थान यूनाइटेड स्टेट्स अफ अमेरिका (माइक्रोनेशिया) को अवस्थित छ। विशेष रूप से, मियामी फ्लोरिडा राज्यका एक शहर हो।"
