Question,answers,label,llm_output
"Bu yer hangi ülkede yer almaktadır? Yer: New York
",Amerika Birleşik Devletleri,cities,"New York, Amerika Birleşik Devletleri'ndeki bir şehirdir. New York Şehri, New York eyaletinin başkentini oluşturur ve dünyanın en büyük şehirlerinden biridir. New York, kültürel, ekonomik ve politik açıdan önemli bir merkez olarak bilinir."
"Bu yer hangi ülkede yer almaktadır? Yer: Los Angeles
",Amerika Birleşik Devletleri,cities,"Los Angeles, Amerika Birleşik Devletleri'ndedir. Özellikle Kaliforniya eyaletinin en büyük şehridir."
"Bu yer hangi ülkede yer almaktadır? Yer: Chicago
",Amerika Birleşik Devletleri,cities,"Chicago, Amerika Birleşik Devletleri'nin Illinois eyaletinde yer almaktadır."
"Bu yer hangi ülkede yer almaktadır? Yer: Houston
",Amerika Birleşik Devletleri,cities,"Houston, Amerika Birleşik Devletleri'ndeki bir şehirdir. Texas eyaletinin en büyük şehridir ve ABD'nin üçüncü en büyük şehri olarak bilinir."
"Bu yer hangi ülkede yer almaktadır? Yer: Anka kuşu
",Amerika Birleşik Devletleri,cities,"Anka kuşu, dünyanın birçok bölgesinde bulunabilir. Ancak, genel olarak anka kuşu Avrupa ve Asya kıtasında yaygındır. Özellikle Orta ve Doğu Avrupa, Kuzey ve Doğu Asya'da daha yoğun olarak görülebilir. Türkiye de anka kuşu bulunabilir, özellikle kış aylarında bazı türler oradadır. Ancak, belirli bir anka kuşu türü için daha spesifik bir konum belirtmek için daha fazla bilgiye ihtiyaç duyarım. Hangi türdeki anka kuşu hakkında bilgi istiyorsunuz?"
"Bu yer hangi ülkede yer almaktadır? Yer: San Diego
",Amerika Birleşik Devletleri,cities,"Bu yer Amerika Birleşik Devletleri'nde yer almaktadır. San Diego, Kaliforniya eyaletinin güney kıyısında bulunan bir şehirdir."
"Bu yer hangi ülkede yer almaktadır? Yer: San Fransisco
",Amerika Birleşik Devletleri,cities,"Bu yer Amerika Birleşik Devletleri'nde, özel olarak Kaliforniya eyaletinde yer almaktadır. San Francisco, Golden Gate Köprüsü ve Alcatraz Adası gibi ünlü yerlerle bilinen ve popüler bir turistik destinasyonudur."
"Bu yer hangi ülkede yer almaktadır? Yer: Seattle
",Amerika Birleşik Devletleri,cities,"Seattle, Amerika Birleşik Devletleri'nin Washington eyaletinde yer almaktadır."
"Bu yer hangi ülkede yer almaktadır? Yer: Denver
",Amerika Birleşik Devletleri,cities,"Denver, Amerika Birleşik Devletleri'ndeki bir şehirdir. Özellikle Колорадо штаты ( Колорадо) (科罗拉多州)内。Denver bu штаттын başkenti болуп санылады."
"Bu yer hangi ülkede yer almaktadır? Yer: Miami
",Amerika Birleşik Devletleri,cities,"Miami, Amerika Birleşik Devletleri'nin Florida eyaletinin güney kenarında yer almaktadır."
