Question,answers,label,llm_output
"In which country is this place located? Place: New York
",United States,cities,"New York is located in the United States of America (USA). More specifically, New York City, often simply called New York, is the most populous city in the state of New York."
"In which country is this place located? Place: Los Angeles
",United States,cities,Los Angeles is located in the United States of America (USA).
"In which country is this place located? Place: Chicago
",United States,cities,"Chicago is located in the United States of America (USA). More specifically, it is the third-most populous city in the United States and the most populous city in the state of Illinois."
"In which country is this place located? Place: Houston
",United States,cities,Houston is located in the United States of America (USA). It is the largest city in the state of Texas and the fourth most populous city in the United States.
"In which country is this place located? Place: Phoenix
",United States,cities,"Phoenix is located in the United States, specifically in the state of Arizona."
"In which country is this place located? Place: San Diego
",United States,cities,"San Diego is located in the United States of America, specifically in the state of California."
"In which country is this place located? Place: San Francisco
",United States,cities,"San Francisco is located in the United States of America, specifically in the state of California."
"In which country is this place located? Place: Seattle
",United States,cities,"Seattle is located in the United States of America, specifically in the state of Washington."
"In which country is this place located? Place: Denver
",United States,cities,"Denver is located in the United States, specifically in the state of Colorado."
"In which country is this place located? Place: Miami
",United States,cities,"Miami is located in the United States of America, specifically in the state of Florida."
"In which country is this place located? Place: Austin
",United States,cities,"Austin is located in the United States of America, specifically in the state of Texas."
"In which country is this place located? Place: Boston
",United States,cities,Boston is located in the United States of America (USA).
"In which country is this place located? Place: Las Vegas
",United States,cities,"Las Vegas is located in the United States, specifically in the state of Nevada."
"In which country is this place located? Place: Orlando
",United States,cities,"Orlando is located in the United States of America, specifically in the state of Florida."
"In which country is this place located? Place: Sacramento
",United States,cities,Sacramento is located in the United States of America. It is the capital city of the state of California.
"In which country is this place located? Place: Portland
",United States,cities,"Portland can refer to several places around the world, but the most well-known Portland is located in the United States. Specifically, it is the largest city in the U.S. state of Oregon. If you are referring to a different Portland, please provide more context so I can give you the correct information."
"In which country is this place located? Place: Tampa
",United States,cities,"Tampa is located in the United States, specifically in the state of Florida."
"In which country is this place located? Place: Cleveland
",United States,cities,"Cleveland is located in the United States. Specifically, it is situated in the state of Ohio, along the southern shore of Lake Erie."
"In which country is this place located? Place: Minneapolis
",United States,cities,"Minneapolis is located in the United States, specifically in the state of Minnesota."
"In which country is this place located? Place: San Antonio
",United States,cities,"San Antonio is located in the United States of America, specifically in the state of Texas."
"In which country is this place located? Place: Mumbai
",India,cities,Mumbai is located in India.
"In which country is this place located? Place: Delhi
",India,cities,Delhi is located in India.
"In which country is this place located? Place: Bengaluru
",India,cities,Bengaluru is located in India. It is the capital city of the Indian state of Karnataka.
"In which country is this place located? Place: Chennai
",India,cities,Chennai is located in India. It is the capital city of the Indian state of Tamil Nadu.
"In which country is this place located? Place: Hyderabad
",India,cities,Hyderabad is located in India. It is the capital city of the Telangana state and previously served as the capital of Andhra Pradesh before the state was bifurcated.
"In which country is this place located? Place: Ahmedabad
",India,cities,"Ahmedabad is located in India. It is the administrative capital of Gujarat, one of the states in India."
"In which country is this place located? Place: Pune
",India,cities,Pune is located in India. It is a major city in the state of Maharashtra.
"In which country is this place located? Place: Kolkata
",India,cities,Kolkata is located in India. It is the capital city of the Indian state of West Bengal.
"In which country is this place located? Place: Jaipur
",India,cities,Jaipur is located in India. It is the capital city of the Rajasthan state in northern India.
"In which country is this place located? Place: Lucknow
",India,cities,Lucknow is located in India. It is the capital city of the Indian state of Uttar Pradesh.
"In which country is this place located? Place: Kanpur
",India,cities,"Kanpur is located in India. It is the second-largest city in the Indian state of Uttar Pradesh and is often referred to as the ""Manchester of India"" due to its historical importance in the textile industry."
"In which country is this place located? Place: Nagpur
",India,cities,Nagpur is located in India. It is the winter capital of the Indian state of Maharashtra.
"In which country is this place located? Place: Indore
",India,cities,Indore is located in the Indian state of Madhya Pradesh.
"In which country is this place located? Place: Patna
",India,cities,Patna is located in India. It is the capital city of the Indian state of Bihar.
"In which country is this place located? Place: Bhopal
",India,cities,Bhopal is located in India. It is the capital city of the Indian state of Madhya Pradesh.
"In which country is this place located? Place: Vadodara
",India,cities,Vadodara is located in the Indian state of Gujarat.
"In which country is this place located? Place: Visakhapatnam
",India,cities,"Visakhapatnam is located in India. It is a major city in the state of Andhra Pradesh, situated on the eastern coast of India, near the Bay of Bengal."
"In which country is this place located? Place: Surat
",India,cities,"Surat is located in India. It is a major city in the state of Gujarat, situated on the banks of the Tapti River."
"In which country is this place located? Place: Amritsar
",India,cities,"Amritsar is located in India. It is a city in the state of Punjab and is known for the Golden Temple, one of the most important religious sites in Sikhism."
"In which country is this place located? Place: Rajkot
",India,cities,"Rajkot is located in the state of Gujarat, in western India."
"In which country is this place located? Place: Shanghai
",China,cities,Shanghai is located in China.
